trial_id,stim_id,param_id,sample_n_mean,sample_n_std
17,18,0,31.5,32.674632039969
2,36,0,24.15,26.200190838999625
2,44,0,28.85,33.905868146042835
18,33,0,14.75,18.501422420423445
8,27,0,33.55,39.801448003281166
3,9,0,40.35,32.582324882316826
11,13,0,46.25,57.977196061536944
5,9,0,21.95,23.091294782598094
0,26,0,26.7,32.0986964811575
5,18,0,23.6,29.153676305146547
4,40,0,29.8,35.307073989276006
16,30,0,24.75,20.47559522944327
0,33,0,35.55,37.82991715004075
12,37,0,18.15,15.792319918905285
11,5,0,23.3,26.551043194888635
5,20,0,25.35,20.2881220110892
11,22,0,55.65,68.13784403306055
17,2,0,32.5,48.838617162198496
14,27,0,44.4,53.14171718398981
11,8,0,29.0,33.42863569173182
14,30,0,32.05,30.95408314193613
15,23,0,43.6,49.34027926445833
9,9,0,22.95,34.34725914139752
2,45,0,47.35,47.49102408267327
14,40,0,22.1,20.449938875214276
5,20,0,23.15,20.9442241755523
16,39,0,19.3,27.718699749257247
5,17,0,35.9,38.11464699809607
18,41,0,24.3,30.03173759804608
10,28,0,29.5,39.211303418650516
9,8,0,46.7,45.75115759248756
8,25,0,27.35,23.331196644023752
0,30,0,44.4,48.76517307734239
13,5,0,27.55,55.33959751056724
16,36,0,48.1,58.28234362950213
9,14,0,30.55,43.76549349719059
9,18,0,27.65,32.105541413807124
14,37,0,30.15,49.17238741621691
19,8,0,38.2,41.57884077268148
15,17,0,25.45,46.8867336191559
11,6,0,31.35,28.42955282244535
16,42,0,46.3,48.67518550771559
4,28,0,34.25,32.09996720772222
8,39,0,20.55,22.47214650230486
14,27,0,26.7,41.88467877147291
9,10,0,32.65,35.14672253942262
1,12,0,25.7,24.613004692641653
8,40,0,23.35,33.806375916853014
0,25,0,35.0,47.6776456501036
19,14,0,21.4,22.61904181506323
4,42,0,20.35,20.05853276892668
2,32,0,22.8,23.589917560820677
16,47,0,27.45,29.155616954542392
15,18,0,27.9,40.14303374054752
4,28,0,26.7,42.58996669590028
17,5,0,28.1,42.75868640589763
7,8,0,21.95,15.82960251520782
6,39,0,19.6,20.4383540381674
19,21,0,43.05,51.602198035599834
5,15,0,34.65,45.4466430929838
13,18,0,21.75,28.1179377098078
13,1,0,43.7,52.333042797271524
7,17,0,35.25,40.09052257080219
1,22,0,26.85,28.292225080399735
15,18,0,14.0,13.510230042063446
11,6,0,37.0,40.22698753717197
14,40,0,25.3,28.793456859063255
7,22,0,33.95,28.30003719543771
6,42,0,21.85,24.171046185140813
13,3,0,35.95,35.242729746715135
8,37,0,20.75,19.531014472264093
5,18,0,27.5,38.24643086203222
2,27,0,34.45,38.86207053562367
3,13,0,23.4,24.011839185131816
19,23,0,26.2,29.48255505602557
5,7,0,32.3,41.16219522558866
1,8,0,58.0,60.02543320609146
2,42,0,27.3,31.795564073260945
