param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
59,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,8.0,5
60,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.5,3
61,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.5,5
62,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1.0,3
63,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1.0,5
64,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,8.0,3
65,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,8.0,5
66,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.5,3
67,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.5,5
68,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1.0,3
69,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1.0,5
70,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,8.0,3
71,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,8.0,5
72,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.5,3
73,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.5,5
74,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1.0,3
75,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1.0,5
76,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,8.0,3
77,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,8.0,5
78,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.5,3
79,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.5,5
80,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1.0,3
81,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1.0,5
82,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,8.0,3
83,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,8.0,5
84,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.5,3
85,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.5,5
86,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1.0,3
87,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1.0,5
88,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,8.0,3
89,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,8.0,5
90,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.5,3
91,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.5,5
92,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1.0,3
93,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1.0,5
94,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,8.0,3
95,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,8.0,5
96,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.5,3
97,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.5,5
98,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1.0,3
99,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1.0,5
100,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,8.0,3
101,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,8.0,5
102,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.5,3
103,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.5,5
104,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1.0,3
105,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1.0,5
106,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,8.0,3
107,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,8.0,5
108,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.5,3
109,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.5,5
110,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1.0,3
111,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1.0,5
112,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,8.0,3
113,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,8.0,5
114,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.5,3
115,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.5,5
116,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1.0,3
117,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1.0,5
118,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,8.0,3
119,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,8.0,5
