,embedding_type,feature_n,fam_duration,trial_id,fam,test,violation_type,stim_id
24,resnet_pa,3,0,0,animate_001_left.png,animate_001_left.png,background,24
25,resnet_pa,3,0,0,animate_002_left.png,animate_002_left.png,background,25
26,resnet_pa,3,0,0,animate_001_right.png,animate_001_right.png,background,26
27,resnet_pa,3,0,0,animate_002_right.png,animate_002_right.png,background,27
28,resnet_pa,3,0,0,animate_003_left.png,animate_003_left.png,background,28
29,resnet_pa,3,0,0,animate_004_left.png,animate_004_left.png,background,29
30,resnet_pa,3,0,0,animate_003_right.png,animate_003_right.png,background,30
31,resnet_pa,3,0,0,animate_004_right.png,animate_004_right.png,background,31
32,resnet_pa,3,0,0,animate_005_left.png,animate_005_left.png,background,32
33,resnet_pa,3,0,0,animate_006_left.png,animate_006_left.png,background,33
34,resnet_pa,3,0,0,animate_005_right.png,animate_005_right.png,background,34
35,resnet_pa,3,0,0,animate_006_right.png,animate_006_right.png,background,35
36,resnet_pa,3,0,0,animate_007_left.png,animate_007_left.png,background,36
37,resnet_pa,3,0,0,animate_008_left.png,animate_008_left.png,background,37
38,resnet_pa,3,0,0,animate_007_right.png,animate_007_right.png,background,38
39,resnet_pa,3,0,0,animate_008_right.png,animate_008_right.png,background,39
40,resnet_pa,3,0,0,animate_009_left.png,animate_009_left.png,background,40
41,resnet_pa,3,0,0,animate_010_left.png,animate_010_left.png,background,41
42,resnet_pa,3,0,0,animate_009_right.png,animate_009_right.png,background,42
43,resnet_pa,3,0,0,animate_010_right.png,animate_010_right.png,background,43
44,resnet_pa,3,0,0,animate_011_left.png,animate_011_left.png,background,44
45,resnet_pa,3,0,0,animate_012_left.png,animate_012_left.png,background,45
46,resnet_pa,3,0,0,animate_011_right.png,animate_011_right.png,background,46
47,resnet_pa,3,0,0,animate_012_right.png,animate_012_right.png,background,47
48,resnet_pa,3,0,1,animate_001_left.png,animate_002_left.png,identity,0
49,resnet_pa,3,0,1,animate_002_left.png,animate_001_left.png,identity,1
50,resnet_pa,3,0,1,animate_001_right.png,animate_002_right.png,identity,2
51,resnet_pa,3,0,1,animate_002_right.png,animate_001_right.png,identity,3
52,resnet_pa,3,0,1,animate_003_left.png,animate_004_left.png,identity,4
53,resnet_pa,3,0,1,animate_004_left.png,animate_003_left.png,identity,5
54,resnet_pa,3,0,1,animate_003_right.png,animate_004_right.png,identity,6
55,resnet_pa,3,0,1,animate_004_right.png,animate_003_right.png,identity,7
56,resnet_pa,3,0,1,animate_005_left.png,animate_006_left.png,identity,8
57,resnet_pa,3,0,1,animate_006_left.png,animate_005_left.png,identity,9
58,resnet_pa,3,0,1,animate_005_right.png,animate_006_right.png,identity,10
59,resnet_pa,3,0,1,animate_006_right.png,animate_005_right.png,identity,11
60,resnet_pa,3,0,1,animate_007_left.png,animate_008_left.png,identity,12
61,resnet_pa,3,0,1,animate_008_left.png,animate_007_left.png,identity,13
62,resnet_pa,3,0,1,animate_007_right.png,animate_008_right.png,identity,14
63,resnet_pa,3,0,1,animate_008_right.png,animate_007_right.png,identity,15
64,resnet_pa,3,0,1,animate_009_left.png,animate_010_left.png,identity,16
65,resnet_pa,3,0,1,animate_010_left.png,animate_009_left.png,identity,17
66,resnet_pa,3,0,1,animate_009_right.png,animate_010_right.png,identity,18
67,resnet_pa,3,0,1,animate_010_right.png,animate_009_right.png,identity,19
68,resnet_pa,3,0,1,animate_011_left.png,animate_012_left.png,identity,20
69,resnet_pa,3,0,1,animate_012_left.png,animate_011_left.png,identity,21
70,resnet_pa,3,0,1,animate_011_right.png,animate_012_right.png,identity,22
71,resnet_pa,3,0,1,animate_012_right.png,animate_012_right.png,identity,23
120,resnet_pa,3,1,2,animate_001_left.png,animate_001_left.png,background,24
121,resnet_pa,3,1,2,animate_002_left.png,animate_002_left.png,background,25
122,resnet_pa,3,1,2,animate_001_right.png,animate_001_right.png,background,26
123,resnet_pa,3,1,2,animate_002_right.png,animate_002_right.png,background,27
124,resnet_pa,3,1,2,animate_003_left.png,animate_003_left.png,background,28
125,resnet_pa,3,1,2,animate_004_left.png,animate_004_left.png,background,29
126,resnet_pa,3,1,2,animate_003_right.png,animate_003_right.png,background,30
127,resnet_pa,3,1,2,animate_004_right.png,animate_004_right.png,background,31
128,resnet_pa,3,1,2,animate_005_left.png,animate_005_left.png,background,32
129,resnet_pa,3,1,2,animate_006_left.png,animate_006_left.png,background,33
130,resnet_pa,3,1,2,animate_005_right.png,animate_005_right.png,background,34
131,resnet_pa,3,1,2,animate_006_right.png,animate_006_right.png,background,35
132,resnet_pa,3,1,2,animate_007_left.png,animate_007_left.png,background,36
133,resnet_pa,3,1,2,animate_008_left.png,animate_008_left.png,background,37
134,resnet_pa,3,1,2,animate_007_right.png,animate_007_right.png,background,38
135,resnet_pa,3,1,2,animate_008_right.png,animate_008_right.png,background,39
136,resnet_pa,3,1,2,animate_009_left.png,animate_009_left.png,background,40
137,resnet_pa,3,1,2,animate_010_left.png,animate_010_left.png,background,41
138,resnet_pa,3,1,2,animate_009_right.png,animate_009_right.png,background,42
139,resnet_pa,3,1,2,animate_010_right.png,animate_010_right.png,background,43
