fam,test,violation_type
animate_001_right.png,veggie_6_left.png,animacy
animate_002_left.png,veggie_9_left.png,animacy
animate_003_right.png,veggie_13_left.png,animacy
animate_004_left.png,veggie_4_left.png,animacy
animate_005_right.png,veggie_38_left.png,animacy
animate_006_left.png,veggie_42_left.png,animacy
animate_001_right.png,animate_001_left.png,pose
animate_002_left.png,animate_002_right.png,pose
animate_003_right.png,animate_003_left.png,pose
animate_004_left.png,animate_004_right.png,pose
animate_005_right.png,animate_005_left.png,pose
animate_006_left.png,animate_006_right.png,pose
animate_001_right.png,animate_001_right_pair.png,number
animate_002_left.png,animate_002_left_pair.png,number
animate_003_right.png,animate_003_right_pair.png,number
animate_004_left.png,animate_004_left_pair.png,number
animate_005_right.png,animate_005_right_pair.png,number
animate_006_left.png,animate_006_left_pair.png,number
animate_001_right.png,animate_002_right.png,identity
animate_002_left.png,animate_001_left.png,identity
animate_003_right.png,animate_004_right.png,identity
animate_004_left.png,animate_003_left.png,identity
animate_005_right.png,animate_006_right.png,identity
animate_006_left.png,animate_005_left.png,identity
animate_001_right.png,animate_001_right.png,background
animate_002_left.png,animate_002_left.png,background
animate_003_right.png,animate_003_right.png,background
animate_004_left.png,animate_004_left.png,background
animate_005_right.png,animate_005_right.png,background
animate_006_left.png,animate_006_left.png,background
