param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,no_noise,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.0001,0.0001,0.0001,
1,no_noise,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.0001,0.0001,1e-05,
2,no_noise,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.0001,0.0001,0.0001,
3,no_noise,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.0001,0.0001,1e-05,
4,no_noise,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.0001,0.0001,0.0001,
5,no_noise,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.0001,0.0001,1e-05,
6,no_noise,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.0001,0.0001,0.0001,
7,no_noise,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.0001,0.0001,1e-05,
8,no_noise,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.0001,0.0001,0.0001,
9,no_noise,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.0001,0.0001,1e-05,
10,no_noise,0,5,500,5,20,999,999,999,1,1.0,10.0,0.0001,0.0001,0.0001,0.0001,
11,no_noise,0,5,500,5,20,999,999,999,1,1.0,10.0,0.0001,0.0001,0.0001,1e-05,
12,no_noise,0,5,500,5,20,999,999,999,1,10.0,0.1,0.0001,0.0001,0.0001,0.0001,
13,no_noise,0,5,500,5,20,999,999,999,1,10.0,0.1,0.0001,0.0001,0.0001,1e-05,
14,no_noise,0,5,500,5,20,999,999,999,1,10.0,1.0,0.0001,0.0001,0.0001,0.0001,
15,no_noise,0,5,500,5,20,999,999,999,1,10.0,1.0,0.0001,0.0001,0.0001,1e-05,
16,no_noise,0,5,500,5,20,999,999,999,1,10.0,10.0,0.0001,0.0001,0.0001,0.0001,
17,no_noise,0,5,500,5,20,999,999,999,1,10.0,10.0,0.0001,0.0001,0.0001,1e-05,
18,no_noise,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.0001,0.0001,0.0001,
19,no_noise,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.0001,0.0001,1e-05,
20,no_noise,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.0001,0.0001,0.0001,
21,no_noise,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.0001,0.0001,1e-05,
22,no_noise,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.0001,0.0001,0.0001,
23,no_noise,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.0001,0.0001,1e-05,
24,no_noise,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.0001,0.0001,0.0001,
25,no_noise,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.0001,0.0001,1e-05,
26,no_noise,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.0001,0.0001,0.0001,
27,no_noise,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.0001,0.0001,1e-05,
28,no_noise,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.0001,0.0001,0.0001,
29,no_noise,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.0001,0.0001,1e-05,
30,no_noise,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.0001,0.0001,0.0001,
31,no_noise,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.0001,0.0001,1e-05,
32,no_noise,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.0001,0.0001,0.0001,
33,no_noise,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.0001,0.0001,1e-05,
34,no_noise,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.0001,0.0001,0.0001,
35,no_noise,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.0001,0.0001,1e-05,
36,no_noise,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.0001,0.0001,0.0001,
37,no_noise,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.0001,0.0001,1e-05,
38,no_noise,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.0001,0.0001,0.0001,
39,no_noise,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.0001,0.0001,1e-05,
40,no_noise,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.0001,0.0001,0.0001,
41,no_noise,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.0001,0.0001,1e-05,
42,no_noise,0,5,500,5,20,999,999,999,3,1.0,0.1,0.0001,0.0001,0.0001,0.0001,
43,no_noise,0,5,500,5,20,999,999,999,3,1.0,0.1,0.0001,0.0001,0.0001,1e-05,
44,no_noise,0,5,500,5,20,999,999,999,3,1.0,1.0,0.0001,0.0001,0.0001,0.0001,
45,no_noise,0,5,500,5,20,999,999,999,3,1.0,1.0,0.0001,0.0001,0.0001,1e-05,
46,no_noise,0,5,500,5,20,999,999,999,3,1.0,10.0,0.0001,0.0001,0.0001,0.0001,
47,no_noise,0,5,500,5,20,999,999,999,3,1.0,10.0,0.0001,0.0001,0.0001,1e-05,
48,no_noise,0,5,500,5,20,999,999,999,3,10.0,0.1,0.0001,0.0001,0.0001,0.0001,
49,no_noise,0,5,500,5,20,999,999,999,3,10.0,0.1,0.0001,0.0001,0.0001,1e-05,
50,no_noise,0,5,500,5,20,999,999,999,3,10.0,1.0,0.0001,0.0001,0.0001,0.0001,
51,no_noise,0,5,500,5,20,999,999,999,3,10.0,1.0,0.0001,0.0001,0.0001,1e-05,
52,no_noise,0,5,500,5,20,999,999,999,3,10.0,10.0,0.0001,0.0001,0.0001,0.0001,
53,no_noise,0,5,500,5,20,999,999,999,3,10.0,10.0,0.0001,0.0001,0.0001,1e-05,
