,param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,0,EIG,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,5
1,1,EIG,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,5
2,2,EIG,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,5
3,3,EIG,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,5
4,4,EIG,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,5
